Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
41033,US-2012-100069,29-06-2012,03-07-2012,Standard Class,NF-18475,Neil Franzsisch,TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,269.98,2,0.0,72.8946,15.94,Medium
41034,CA-2014-129294,17-03-2014,22-03-2014,Standard Class,KD-16615,Ken Dana,OFF-ST-10002615,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",310.12,2,0.0,80.6312,26.14,High
41035,CA-2014-129294,17-03-2014,22-03-2014,Standard Class,KD-16615,Ken Dana,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",70.464,6,0.2,22.9008,9.45,High
41036,CA-2014-129294,17-03-2014,22-03-2014,Standard Class,KD-16615,Ken Dana,OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,19.68,5,0.2,6.888,2.27,High
41037,CA-2014-129294,17-03-2014,22-03-2014,Standard Class,KD-16615,Ken Dana,OFF-AP-10001154,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,140.67,3,0.0,54.8613,14.92,High
41038,CA-2012-117086,08-11-2012,12-11-2012,Standard Class,QJ-19255,Quincy Jones,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9,5,0.0,1013.127,184.44,Medium
41039,CA-2014-131303,29-11-2014,03-12-2014,Standard Class,EP-13915,Emily Phan,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,62.65,5,0.0,29.4455,9.13,High
41040,CA-2013-137127,17-06-2013,23-06-2013,Standard Class,JJ-15445,Jennifer Jackson,OFF-LA-10001641,Office Supplies,Labels,Avery 518,9.45,3,0.0,4.536,0.42,Medium
41041,CA-2014-141782,22-01-2014,26-01-2014,Standard Class,BE-11410,Bobby Elias,OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes,268.576,4,0.2,90.6444,34.12,High
41042,CA-2014-137505,25-11-2014,25-11-2014,Same Day,BP-11290,Beth Paige,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",364.08,2,0.2,9.102,30.03,Medium
41043,CA-2014-137505,25-11-2014,25-11-2014,Same Day,BP-11290,Beth Paige,FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,71.088,2,0.2,-1.7772,3.13,Medium
41044,US-2011-140914,11-11-2011,15-11-2011,Standard Class,BH-11710,Brosina Hoffman,FUR-FU-10000175,Furniture,Furnishings,DAX Wood Document Frame.,10.984,2,0.6,-7.9634,1.13,High
41045,US-2011-140914,11-11-2011,15-11-2011,Standard Class,BH-11710,Brosina Hoffman,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,797.944,4,0.3,-56.996,77.27,High
41046,CA-2013-158358,05-03-2013,09-03-2013,Standard Class,EM-13810,Eleni McCrary,TEC-AC-10002567,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,159.98,2,0.0,57.5928,9.89,Medium
41047,CA-2013-113390,12-10-2013,16-10-2013,Standard Class,EP-13915,Emily Phan,OFF-AR-10003183,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,5.344,2,0.2,0.668,0.96,High
41048,CA-2013-113390,12-10-2013,16-10-2013,Standard Class,EP-13915,Emily Phan,OFF-AR-10001446,Office Supplies,Art,Newell 309,27.72,3,0.2,3.465,3.45,High
